date,time,open,high,low,close
2022.01.02,16:00,1.13689,1.13782,1.13608,1.13618
2022.01.02,20:00,1.13619,1.13651,1.13385,1.13403
2022.01.03,00:00,1.13404,1.135,1.13349,1.13465
2022.01.03,04:00,1.13465,1.13661,1.13356,1.13586
2022.01.03,08:00,1.13588,1.13641,1.12828,1.12888
2022.01.03,12:00,1.12888,1.13003,1.12797,1.12963
2022.01.03,16:00,1.12963,1.13068,1.12929,1.13056
2022.01.03,20:00,1.13056,1.13094,1.12953,1.13005
2022.01.04,00:00,1.13005,1.13071,1.12831,1.12895
2022.01.04,04:00,1.12894,1.13083,1.12721,1.1273
2022.01.04,08:00,1.12728,1.13224,1.12728,1.12945
2022.01.04,12:00,1.12943,1.12959,1.12779,1.12844
2022.01.04,16:00,1.12845,1.12877,1.12769,1.12771
2022.01.04,20:00,1.12773,1.12967,1.12773,1.12887
2022.01.05,00:00,1.12889,1.13109,1.12873,1.13028
2022.01.05,04:00,1.13027,1.13261,1.13,1.13076
2022.01.05,08:00,1.13077,1.13441,1.1303,1.13339
2022.01.05,12:00,1.1334,1.13463,1.13021,1.13109
2022.01.05,16:00,1.13107,1.13142,1.13074,1.1308
2022.01.05,20:00,1.13082,1.13205,1.13048,1.13122
2022.01.06,00:00,1.13122,1.13122,1.12845,1.12937
2022.01.06,04:00,1.12937,1.13268,1.12885,1.13131
2022.01.06,08:00,1.13132,1.13318,1.12901,1.1307
2022.01.06,12:00,1.1307,1.13091,1.12861,1.1291
2022.01.06,16:00,1.12912,1.12998,1.12871,1.12958
2022.01.06,20:00,1.12958,1.13031,1.1295,1.13006
2022.01.07,00:00,1.13006,1.13152,1.1298,1.13121
2022.01.07,04:00,1.13122,1.13192,1.1296,1.12972
2022.01.07,08:00,1.12973,1.1357,1.12922,1.13564
2022.01.07,12:00,1.13564,1.13647,1.13494,1.13611
2022.01.07,16:00,1.1361,1.1362,1.13583,1.13593
2022.01.09,16:00,1.13515,1.13602,1.13497,1.13549
2022.01.09,20:00,1.13549,1.13563,1.13332,1.13341
2022.01.10,00:00,1.13341,1.13361,1.13205,1.13354
2022.01.10,04:00,1.13355,1.13444,1.13116,1.13162
2022.01.10,08:00,1.1316,1.13287,1.12847,1.13274
2022.01.10,12:00,1.13273,1.13347,1.13199,1.1326
2022.01.10,16:00,1.1326,1.13347,1.13206,1.13328
2022.01.10,20:00,1.13328,1.13436,1.13321,1.13407
2022.01.11,00:00,1.1341,1.13516,1.13315,1.13492
2022.01.11,04:00,1.13494,1.13518,1.13259,1.1331
2022.01.11,08:00,1.1331,1.13685,1.1313,1.13619
2022.01.11,12:00,1.13617,1.13752,1.1352,1.13655
2022.01.11,16:00,1.13655,1.13733,1.13618,1.13708
2022.01.11,20:00,1.13707,1.13755,1.1364,1.13725
2022.01.12,00:00,1.13727,1.13779,1.13549,1.13668
2022.01.12,04:00,1.13669,1.13735,1.13547,1.13633
2022.01.12,08:00,1.13632,1.14319,1.13613,1.14312
2022.01.12,12:00,1.14314,1.14526,1.14285,1.14496
2022.01.12,16:00,1.14499,1.14503,1.1439,1.14411
2022.01.12,20:00,1.14411,1.14471,1.14357,1.14421
2022.01.13,00:00,1.14421,1.14782,1.14383,1.14661
2022.01.13,04:00,1.14663,1.14775,1.14531,1.14584
2022.01.13,08:00,1.14584,1.14817,1.14471,1.14653
2022.01.13,12:00,1.14652,1.14672,1.14506,1.14521
2022.01.13,16:00,1.14518,1.14593,1.14508,1.14563
2022.01.13,20:00,1.14563,1.14765,1.1456,1.14736
2022.01.14,00:00,1.14736,1.14827,1.14601,1.14681
2022.01.14,04:00,1.14682,1.1469,1.14419,1.14436
2022.01.14,08:00,1.14437,1.14551,1.1409,1.14143
2022.01.14,12:00,1.14142,1.14176,1.13984,1.14147
2022.01.14,16:00,1.14148,1.14167,1.1409,1.1409
2022.01.16,16:00,1.14118,1.14156,1.14033,1.14075
2022.01.16,20:00,1.14076,1.14212,1.14,1.14188
2022.01.17,00:00,1.14191,1.14344,1.14119,1.14282
2022.01.17,04:00,1.14283,1.14329,1.13951,1.13963
2022.01.17,08:00,1.13963,1.14146,1.13917,1.14094
2022.01.17,12:00,1.14095,1.14158,1.14046,1.14065
2022.01.17,16:00,1.14065,1.14189,1.14045,1.14188
2022.01.17,20:00,1.14187,1.14214,1.13849,1.14015
2022.01.18,00:00,1.14014,1.14057,1.13869,1.13947
2022.01.18,04:00,1.13947,1.1401,1.13812,1.13816
2022.01.18,08:00,1.13817,1.13827,1.13265,1.13342
2022.01.18,12:00,1.13343,1.13354,1.13146,1.13171
2022.01.18,16:00,1.13173,1.13304,1.13166,1.1329
2022.01.18,20:00,1.13292,1.13313,1.13187,1.13301
2022.01.19,00:00,1.133,1.13427,1.13269,1.13331
2022.01.19,04:00,1.13328,1.13497,1.13316,1.1334
