date,time,open,high,low,close
2022.01.02,16:00,155.466,155.907,155.458,155.814
2022.01.02,20:00,155.816,155.916,155.562,155.588
2022.01.03,00:00,155.592,155.856,155.582,155.853
2022.01.03,04:00,155.851,155.868,155.379,155.401
2022.01.03,08:00,155.403,155.474,154.883,155.216
2022.01.03,12:00,155.218,155.518,155.216,155.464
2022.01.03,16:00,155.464,155.566,155.214,155.519
2022.01.03,20:00,155.518,155.999,155.458,155.952
2022.01.04,00:00,155.95,156.371,155.749,156.283
2022.01.04,04:00,156.284,156.856,156.269,156.808
2022.01.04,08:00,156.809,157.426,156.807,157.274
2022.01.04,12:00,157.273,157.394,157.025,157.054
2022.01.04,16:00,157.055,157.29,156.983,157.206
2022.01.04,20:00,157.207,157.224,156.808,156.954
2022.01.05,00:00,156.959,157.157,156.859,157.029
2022.01.05,04:00,157.029,157.075,156.572,156.798
2022.01.05,08:00,156.796,157.368,156.743,157.314
2022.01.05,12:00,157.314,157.766,157.277,157.33
2022.01.05,16:00,157.333,157.466,157.13,157.269
2022.01.05,20:00,157.27,157.276,156.713,156.745
2022.01.06,00:00,156.744,156.876,156.082,156.325
2022.01.06,04:00,156.321,156.956,156.208,156.806
2022.01.06,08:00,156.807,157.007,156.376,156.741
2022.01.06,12:00,156.741,156.861,156.58,156.811
2022.01.06,16:00,156.812,157.053,156.66,156.955
2022.01.06,20:00,156.955,157.102,156.916,157.017
2022.01.07,00:00,157.018,157.048,156.745,156.863
2022.01.07,04:00,156.861,157.035,156.773,156.896
2022.01.07,08:00,156.894,157.057,156.737,157.021
2022.01.07,12:00,157.022,157.179,156.941,157.098
2022.01.07,16:00,157.095,157.165,156.98,157.004
2022.01.09,16:00,156.737,157.217,156.727,157.134
2022.01.09,20:00,157.134,157.372,157.059,157.303
2022.01.10,00:00,157.303,157.347,157.05,157.166
2022.01.10,04:00,157.166,157.283,156.311,156.365
2022.01.10,08:00,156.365,156.506,155.943,156.195
2022.01.10,12:00,156.196,156.495,156.034,156.486
2022.01.10,16:00,156.489,156.672,156.237,156.65
2022.01.10,20:00,156.648,156.879,156.538,156.648
2022.01.11,00:00,156.647,156.985,156.426,156.945
2022.01.11,04:00,156.947,157.132,156.744,156.786
2022.01.11,08:00,156.787,157.214,156.746,157.172
2022.01.11,12:00,157.172,157.31,157.084,157.145
2022.01.11,16:00,157.149,157.31,157.111,157.166
2022.01.11,20:00,157.169,157.421,157.055,157.349
2022.01.12,00:00,157.347,157.433,157.173,157.215
2022.01.12,04:00,157.216,157.437,157.108,157.401
2022.01.12,08:00,157.399,157.705,157.034,157.164
2022.01.12,12:00,157.165,157.166,156.752,157.025
2022.01.12,16:00,157.024,157.229,156.984,157.148
2022.01.12,20:00,157.147,157.26,156.986,157.105
2022.01.13,00:00,157.105,157.333,157.015,157.235
2022.01.13,04:00,157.241,157.458,156.807,156.824
2022.01.13,08:00,156.824,157.139,156.514,156.528
2022.01.13,12:00,156.53,156.601,156.305,156.403
2022.01.13,16:00,156.403,156.614,156.157,156.179
2022.01.13,20:00,156.178,156.339,156.0,156.13
2022.01.14,00:00,156.13,156.342,155.99,156.336
2022.01.14,04:00,156.333,156.519,155.812,155.885
2022.01.14,08:00,155.882,155.939,155.453,155.7
2022.01.14,12:00,155.695,156.222,155.665,156.199
2022.01.14,16:00,156.199,156.289,156.116,156.116
2022.01.16,16:00,156.005,156.395,155.985,156.293
2022.01.16,20:00,156.294,156.552,156.239,156.482
2022.01.17,00:00,156.486,156.644,156.378,156.461
2022.01.17,04:00,156.46,156.714,156.239,156.301
2022.01.17,08:00,156.302,156.503,156.236,156.378
2022.01.17,12:00,156.381,156.481,156.33,156.376
2022.01.17,16:00,156.375,156.438,156.268,156.424
2022.01.17,20:00,156.424,156.899,156.33,156.646
2022.01.18,00:00,156.646,156.799,156.358,156.497
2022.01.18,04:00,156.496,156.509,155.741,155.783
2022.01.18,08:00,155.784,155.9,155.472,155.696
2022.01.18,12:00,155.696,155.893,155.52,155.772
2022.01.18,16:00,155.771,155.943,155.715,155.938
2022.01.18,20:00,155.937,156.072,155.587,155.6
2022.01.19,00:00,155.6,155.659,155.396,155.574
2022.01.19,04:00,155.575,156.229,155.573,156.056
2022.01.19,08:00,156.054,156.198,155.632,155.692
2022.01.19,12:00,155.693,155.856,155.578,155.632
2022.01.19,16:00,155.633,155.765,155.54,155.668
2022.01.19,20:00,155.667,155.943,155.441,155.89
2022.01.20,00:00,155.891,156.06,155.715,155.769
2022.01.20,04:00,155.768,155.806,155.402,155.513
2022.01.20,08:00,155.512,155.786,155.445,155.62
2022.01.20,12:00,155.621,155.672,155.139,155.175
2022.01.20,16:00,155.174,155.256,154.583,154.603
2022.01.20,20:00,154.6,154.858,154.445,154.645
2022.01.21,00:00,154.647,154.786,154.413,154.68
