date,time,open,high,low,close
2022.01.02,17:20,155.466,155.525,155.466,155.521
2022.01.02,17:25,155.468,155.526,155.458,155.467
2022.01.02,17:30,155.466,155.762,155.46,155.733
2022.01.02,17:35,155.731,155.736,155.556,155.68
2022.01.02,17:40,155.678,155.761,155.672,155.731
2022.01.02,17:45,155.723,155.737,155.682,155.683
2022.01.02,17:50,155.684,155.692,155.623,155.686
2022.01.02,17:55,155.685,155.703,155.666,155.676
2022.01.02,18:00,155.676,155.776,155.676,155.732
2022.01.02,18:05,155.728,155.758,155.708,155.749
2022.01.02,18:10,155.752,155.752,155.728,155.731
2022.01.02,18:15,155.731,155.754,155.728,155.742
2022.01.02,18:20,155.741,155.741,155.71,155.72
2022.01.02,18:25,155.718,155.728,155.707,155.715
2022.01.02,18:30,155.715,155.731,155.694,155.698
2022.01.02,18:35,155.698,155.699,155.68,155.68
2022.01.02,18:40,155.68,155.69,155.672,155.68
2022.01.02,18:45,155.68,155.704,155.672,155.696
2022.01.02,18:50,155.691,155.692,155.671,155.685
2022.01.02,18:55,155.685,155.69,155.669,155.688
2022.01.02,19:00,155.684,155.688,155.664,155.667
2022.01.02,19:05,155.667,155.702,155.664,155.698
2022.01.02,19:10,155.699,155.71,155.673,155.674
2022.01.02,19:15,155.677,155.721,155.673,155.713
2022.01.02,19:20,155.713,155.757,155.713,155.752
2022.01.02,19:25,155.753,155.841,155.752,155.839
2022.01.02,19:30,155.84,155.847,155.824,155.839
2022.01.02,19:35,155.838,155.882,155.835,155.858
2022.01.02,19:40,155.857,155.901,155.854,155.901
2022.01.02,19:45,155.901,155.907,155.871,155.889
2022.01.02,19:50,155.892,155.892,155.789,155.794
2022.01.02,19:55,155.793,155.842,155.793,155.814
2022.01.02,20:00,155.816,155.816,155.785,155.804
2022.01.02,20:05,155.804,155.871,155.804,155.86
2022.01.02,20:10,155.86,155.877,155.838,155.872
2022.01.02,20:15,155.872,155.899,155.852,155.891
2022.01.02,20:20,155.89,155.916,155.883,155.914
2022.01.02,20:25,155.914,155.915,155.876,155.879
2022.01.02,20:30,155.88,155.885,155.853,155.874
2022.01.02,20:35,155.875,155.875,155.802,155.817
2022.01.02,20:40,155.817,155.818,155.763,155.8
2022.01.02,20:45,155.798,155.798,155.682,155.683
2022.01.02,20:50,155.682,155.754,155.675,155.751
2022.01.02,20:55,155.75,155.75,155.717,155.732
2022.01.02,21:00,155.732,155.737,155.699,155.709
2022.01.02,21:05,155.709,155.719,155.642,155.65
2022.01.02,21:10,155.653,155.718,155.653,155.701
2022.01.02,21:15,155.701,155.73,155.699,155.718
2022.01.02,21:20,155.719,155.727,155.699,155.714
2022.01.02,21:25,155.71,155.71,155.693,155.695
2022.01.02,21:30,155.695,155.716,155.695,155.697
2022.01.02,21:35,155.697,155.708,155.647,155.649
2022.01.02,21:40,155.648,155.723,155.648,155.723
2022.01.02,21:45,155.724,155.736,155.667,155.668
2022.01.02,21:50,155.664,155.67,155.648,155.658
2022.01.02,21:55,155.658,155.668,155.655,155.668
2022.01.02,22:00,155.667,155.678,155.659,155.659
2022.01.02,22:05,155.658,155.663,155.641,155.645
2022.01.02,22:10,155.646,155.652,155.641,155.647
2022.01.02,22:15,155.646,155.647,155.589,155.598
2022.01.02,22:20,155.599,155.615,155.582,155.6
2022.01.02,22:25,155.6,155.619,155.589,155.612
2022.01.02,22:30,155.614,155.622,155.602,155.604
2022.01.02,22:35,155.609,155.619,155.589,155.591
2022.01.02,22:40,155.589,155.603,155.564,155.6
2022.01.02,22:45,155.6,155.646,155.589,155.636
2022.01.02,22:50,155.638,155.654,155.636,155.636
2022.01.02,22:55,155.636,155.641,155.607,155.608
2022.01.02,23:00,155.607,155.64,155.596,155.64
2022.01.02,23:05,155.644,155.677,155.641,155.676
2022.01.02,23:10,155.676,155.687,155.674,155.677
2022.01.02,23:15,155.677,155.688,155.677,155.688
2022.01.02,23:20,155.689,155.689,155.662,155.666
2022.01.02,23:25,155.667,155.681,155.666,155.68
2022.01.02,23:30,155.679,155.68,155.664,155.669
2022.01.02,23:35,155.669,155.686,155.669,155.686
2022.01.02,23:40,155.685,155.689,155.671,155.674
2022.01.02,23:45,155.674,155.679,155.654,155.654
2022.01.02,23:50,155.655,155.66,155.563,155.564
